name,building_id,id,created_at,updated_at
АО «Фокин-Шестаков»,5b5132db-0c07-431e-bbf7-5e75275852be,6eeb3b2b-a8f0-4c69-af16-66b300d5dec1,2025-05-22 12:47:47.335961 +00:00,
ОАО «Костина-Фомина»,18d0a7de-fda5-4f34-833e-55dfd5e6f9c7,8ce0421e-c4f6-4fcf-b052-437859e276b7,2025-05-22 12:47:47.335970 +00:00,
АО «Дементьев Ларионова»,f4c60f83-1ddb-4675-ac6f-1740becb5327,126300b1-c1a1-46d0-bcd9-4f04e357692f,2025-05-22 12:47:47.335974 +00:00,
ООО «Гурьева»,1b370fb8-8ca3-4c17-abe4-c6cb9001b34e,3b552808-8608-4256-8bc7-fd23fb7877ab,2025-05-22 12:47:47.335978 +00:00,
РАО «Вишнякова-Тарасов»,0a721446-4f99-4f16-88f8-65d8d476f4d0,016d3d28-afbf-4723-9d46-401203bcf73b,2025-05-22 12:47:47.335982 +00:00,
Газпром бурение,4075b7cf-aa9d-4b01-a27e-478dac894449,7c1aa46e-4d5d-44c8-9be1-8dddb38d20fc,2025-05-22 12:47:47.335986 +00:00,
ЗАО «Сорокин-Комаров»,91167dd6-efb5-4c30-8f74-354046ecab53,50b8a53b-1087-402e-adce-e69917dc715a,2025-05-22 12:47:47.335990 +00:00,
НЛМК,91167dd6-efb5-4c30-8f74-354046ecab53,362e7c80-2e93-4092-ae26-0b8efc6cba84,2025-05-22 12:47:47.335997 +00:00,
"ОАО «Сергеев, Большакова и Николаева»",9ad017f9-c236-46c1-89e8-57c47de31e18,91850a1d-6255-4c32-9ed8-4a4abb4edb4b,2025-05-22 12:47:47.336001 +00:00,
"ОАО «Беляева, Максимова и Яковлев»",980e9e6c-8e2c-4050-9474-4ecfff937cbe,052be8b5-e5c9-4a72-9fac-49833dd26192,2025-05-22 12:47:47.336005 +00:00,
"ИП «Смирнова, Михеев и Сысоев»",5b5132db-0c07-431e-bbf7-5e75275852be,0ddd8b5d-16a1-46bd-9296-aca528a985fa,2025-05-22 12:47:47.336008 +00:00,
Краснодарзернопродукт-Экспо,56741631-fa88-4e1d-ae87-49bcd6fbf55d,b1921723-6e84-471b-a447-877ea5f5f359,2025-05-22 12:47:47.336012 +00:00,
"ООО «Петухов, Одинцова и Моисеева»",56741631-fa88-4e1d-ae87-49bcd6fbf55d,22c1cb05-8741-4bfb-a6a6-3cf6ac5c9bd0,2025-05-22 12:47:47.336016 +00:00,
"ОАО «Козлова, Ермакова и Герасимова»",14c9204a-4cdb-4d9b-b32a-25e6a179dcdd,3c4e56ce-96c9-44b6-a46b-e212a0d86278,2025-05-22 12:47:47.336020 +00:00,
ООО «Туров-Боброва»,0baa86ac-05cd-40cc-b1e3-9e1ca2662ee9,5f71e598-37e0-4b33-aa9a-e3c1c26df99d,2025-05-22 12:47:47.336024 +00:00,
"РАО «Савельев, Красильникова и Попова»",92b066a6-2951-4bf6-87fb-eb2c80c440ec,9c72c67e-58ec-4dd1-bf0c-4bc5870fff5e,2025-05-22 12:47:47.336028 +00:00,
ООО «Фомичев»,4fb36def-a9af-4ca2-bc71-21f5dd9ede0f,e6ecc353-b159-4f4c-9407-bfc73171f584,2025-05-22 12:47:47.336032 +00:00,
Одинцова Лимитед,c29c9176-71f8-4962-8c1c-2595fa100720,a60ce8c2-fef3-4a21-93f9-1892c1b506b3,2025-05-22 12:47:47.336035 +00:00,
Белоусов Групп,f48b7c13-a34d-45bc-a842-da842c74f424,af9ad394-7d88-4d48-bdb6-c43b16570fde,2025-05-22 12:47:47.336039 +00:00,
Загорский трубный завод,a61825bb-4d22-4189-a323-79177a8a8451,14a9fb8e-082b-48b4-9695-9c259b8a7c48,2025-05-22 12:47:47.336043 +00:00,
Автозаправочные комплексы Atan,2b599c15-b6d0-4c36-b05f-b274b9c8474d,0d082d6f-f4dd-4694-9505-7191664cbf11,2025-05-22 12:47:47.336047 +00:00,
ОАО «Артемьева Якушева»,c29c9176-71f8-4962-8c1c-2595fa100720,703fdc7a-0b80-43f1-a22c-d43aea0d20f4,2025-05-22 12:47:47.336051 +00:00,
