value,organization_id,id,created_at,updated_at
8 (369) 600-91-07,6eeb3b2b-a8f0-4c69-af16-66b300d5dec1,db5164f0-2b9c-49de-9da4-b0c2beffbea7,2025-05-22 12:47:47.510936 +00:00,
85738121688,6eeb3b2b-a8f0-4c69-af16-66b300d5dec1,f75f5573-4a49-41cd-b2f0-f61a00d22940,2025-05-22 12:47:47.510944 +00:00,
+7 (618) 513-62-02,8ce0421e-c4f6-4fcf-b052-437859e276b7,1d4d0edd-4721-4a53-9422-943b232955e6,2025-05-22 12:47:47.510949 +00:00,
+7 844 150 01 04,8ce0421e-c4f6-4fcf-b052-437859e276b7,dc944b4f-46f7-42b6-8b98-a713a1fc5b66,2025-05-22 12:47:47.510953 +00:00,
8 (332) 880-9622,126300b1-c1a1-46d0-bcd9-4f04e357692f,a47a8cc5-fd4b-4106-a241-39284ab1e524,2025-05-22 12:47:47.510956 +00:00,
8 (399) 714-47-60,3b552808-8608-4256-8bc7-fd23fb7877ab,5b3efb65-f698-40c7-b5fc-631067827985,2025-05-22 12:47:47.510960 +00:00,
8 (772) 745-24-98,3b552808-8608-4256-8bc7-fd23fb7877ab,8f1f1ee1-b995-4cb4-aeb4-c26017378138,2025-05-22 12:47:47.510964 +00:00,
+7 (655) 343-5453,3b552808-8608-4256-8bc7-fd23fb7877ab,739aeaa7-3511-46d1-bf87-aaeb439f85ba,2025-05-22 12:47:47.510968 +00:00,
89034023581,016d3d28-afbf-4723-9d46-401203bcf73b,56aa78d3-704f-4e9b-a1c7-3b4cae376aa2,2025-05-22 12:47:47.510971 +00:00,
+72641944831,016d3d28-afbf-4723-9d46-401203bcf73b,a9cc01a5-f1cf-47f6-9673-ee230c13471a,2025-05-22 12:47:47.510975 +00:00,
8 104 801 2786,016d3d28-afbf-4723-9d46-401203bcf73b,ed923800-3c3e-4c62-9fef-955f81310a53,2025-05-22 12:47:47.510979 +00:00,
8 (439) 158-53-90,7c1aa46e-4d5d-44c8-9be1-8dddb38d20fc,b39e6206-f004-4652-8349-95ba905a8957,2025-05-22 12:47:47.510982 +00:00,
+7 (647) 539-4898,7c1aa46e-4d5d-44c8-9be1-8dddb38d20fc,6103209e-8816-4ddc-aa77-3186cb8f33ac,2025-05-22 12:47:47.510986 +00:00,
8 (244) 919-2615,7c1aa46e-4d5d-44c8-9be1-8dddb38d20fc,73148619-99b9-4671-8366-d5f44a0a4cdc,2025-05-22 12:47:47.510990 +00:00,
8 895 720 1572,7c1aa46e-4d5d-44c8-9be1-8dddb38d20fc,2fb82ce6-7dac-4509-8734-9ce900050243,2025-05-22 12:47:47.510994 +00:00,
8 514 439 5421,50b8a53b-1087-402e-adce-e69917dc715a,cffe7a12-7972-4f8e-b0ad-0b3ffb2449b7,2025-05-22 12:47:47.510998 +00:00,
